#exploration 1 : using all the planets and G = (2*pi/365)**2
Sun,-4.018617943660086E-03, 3.135641960414769E-03,  1.442630988282544E-05,  1.436710502112359E-06, -6.622929031527378E-06,  1.928284515380988E-08,1.0,
#Mars,-1.651467472167340E+00, -5.244525170093631E-02,  3.938815926948300E-02,  9.984360861004344E-04, -1.279916225646248E-02, -2.924513847741997E-04,3.22713E-7,
#Planetx,2.82925825E+00, 0.221957662E+00, -2.05726167E00,1.932135E-04,-9.502762738E-03,2.21957692E-04,4.2352E-7,
Jupiter, 4.443407693243705E+00,  2.187828352185620E+00, -1.086312190096881E-01, -3.425878852331205E-03,  7.124550413044355E-03,  4.730587196849492E-05,9.54E-4,
Mercury,1.378847251818494E-01,  2.777092471943823E-01,  9.410948537305891E-03, -3.060967566028691E-02,  1.402233024094006E-02,  3.956447672218852E-03,1.66E-7,
Venus,-8.655155757400046E-02, -7.187198771729130E-01, -5.062473464584993E-03,  1.996119766505029E-02, -2.382647747410574E-03, -1.184705967090408E-03,2.44781E-6,
Earth,7.649844532135460E-01,  6.303647688417049E-01,  3.338035304613704E-05, -1.115407869325962E-02,  1.325404715512556E-02, -3.286287467931465E-07,3E-6,
Mars,-1.651467472167340E+00, -5.244525170093631E-02,  3.938815926948300E-02,  9.984360861004344E-04, -1.279916225646248E-02, -2.924513847741997E-04,3.22713E-7,
#Planetx,2.82925825E+00, 0.221957662E+00, -2.05726167E00,1.932135E-04,-9.502762738E-03,2.21957692E-04,4.2352E-2,
Jupiter, 4.443407693243705E+00,  2.187828352185620E+00, -1.086312190096881E-01, -3.425878852331205E-03,  7.124550413044355E-03,  4.730587196849492E-05,9.54E-4,
Saturn,-1.323541494591722E+00, -9.944009158437344E+00,  2.259753238886058E-01,  5.228661792177606E-03, -7.527240149815942E-04, -1.947960531111533E-04,2.85812E-4,
Uranus,-1.170345558802574E+00, -1.919978802048973E+01, -5.612375629663070E-02,  3.896230679287031E-03, -4.224602607886448E-04, -5.200734454399166E-05,4.36576E-5,
Neptune,3.962556045508034E+00, -2.996191244821583E+01,  5.256478203378221E-01,  3.091736507908089E-03,  4.284348520618042E-04, -8.039303507530765E-05,5.15028E-5,
###
#
#
#using the following intial conditions with G=1 for the stable 3body system for figure 8 with time steps = 100*dt 
Star1,0.9700436,-0.24308753,0,0.466203685,0.43236573,0,1.0,
star2,-0.9700436,0.24308753,0,0.466203685,0.43236573,0,1.0,
star3,0,0,0,-0.93240737,-0.86473146,0,1.0,
#
#
#binary star exploration with one planet
star1,-4.018617943660086E-03, 3.135641960414769E-03,  1.442630988282544E-05,  1.436710502112359E-06, -6.622929031527378E-06,  1.928284515380988E-08,1.0,
star2,4.443407693243705E+00,  2.187828352185620E+00, -1.086312190096881E-01, -3.425878852331205E-03,  7.124550413044355E-03,  4.730587196849492E-05,1,
planet,1.378847251818494E-01,  2.777092471943823E-01,  9.410948537305891E-03, -3.060967566028691E-02,  1.402233024094006E-02,  3.956447672218852E-03,1.66E-9,
